_id,en_word,en_definition,example,synonyms,antonyms
4,A,adj pakhat. E.g. a book= cabu pakhat,NA,NA,NA
60,ABACK,adv dunglamah,NA,NA,NA
64,ADANDON,"vt  tlansan ta, hnong, hnawl, bansan",NA,NA,NA
76,ABASE,"vt  nautater, ningzakter",NA,NA,NA
81,ABASH,"vt ningzak, hmaisong",NA,NA,NA
85,ABASHED,"adj ningzak mi, hmaisong mi",NA,NA,NA
86,ABATE,"vt & vi tha zawr deuh, mal deuh, kiam deuh",NA,NA,NA
91,ABBOT,n phungki tlawnginn uktu siangbawi upa bik,NA,NA,NA
93,ABBREVIATE,"vt tawiter, atawinak ih ngan",NA,NA,NA
100,ABDICATE,"vt Siangpahrang hnatuan ihsin suak, upa hnatuan in cawl",NA,NA,NA
103,ABDOMEN ,"n pumpi, pum",NA,NA,NA
106,ABDUCT,"vt milai hramhram ih hruai, hramhram ih fehpi.",NA,NA,NA
111,ABET,"vt thil tha lo tuah dingih forh, bawm.",NA,NA,NA
112,ABHOR,"vt hua,duh lo, fih.",NA,NA,NA
115,ABIDE,"vt  um: hnenah um, sungah um.",NA,NA,NA
119,ABIDE BY,"vt thleng duh lo, fek zetih dinpi.",NA,NA,NA
121,ABILITY,"n  thil ti theinak, tithiamnak, thiamnak.",NA,NA,NA
126,ABLAZE,"adj  alh rero mi, a kang a hlio mi.",NA,NA,NA
128,ABLE,"adj tuah thei mi, ti thei mi.",NA,NA,NA
137,ABNORMAL,"adj a daan vekih a um li mi, a phundang mi, a lamdang mi.",NA,NA,NA
142,ABOARD,"adv lawng parah, tlanglenga parah, mawtawka parah.",NA,NA,NA
144,ABODE,"n um hmun, inn",NA,NA,NA
146,ABOLISH,"vt siat bal,",NA,NA,NA
148,ABOMINABLE,"adj ning, sinza a si mi , fih a nung mi , huat zawng a si mi.",NA,NA,NA
151,ABORIGINES,"n a hmaisa bikih rak umtu milai pawl, a um tirpawl.",NA,NA,NA
152,ABORTION,"vt fa siat, zulh.",NA,NA,NA
155,ABOUND,"vt tampi, an tampi.",NA,NA,NA
158,ABOUT,"adv hrawng, tluk.",NA,NA,NA
162,ABOUT TO,adv zikah.,NA,NA,NA
166,ABOUT,prep kiangkap.,NA,NA,NA
168,ABOVE,"prep tlunah, tlun vanah, a sang deuh hmun.",NA,NA,NA
171,ABREAST,"adv artlang in, a zawnin.",NA,NA,NA
181,ABRIDGE,adv tawiter.,NA,NA,NA
182,ABROAD,adv ram dangah.,NA,NA,NA
183,ABRUPT,"adj  rin lo pi, hmakhatte, hruak.",NA,NA,NA
187,ABSCESS,n hmasia : khuaihli hma,NA,NA,NA
188,ABSCOND,"vt tlan hlo, ram relh.",NA,NA,NA
190,ABSENT,"adj tel lo mi, a ra lo mi.",NA,NA,NA
196,ABSENT-MINDED,"adj thuhngilh hmang, molce.",NA,NA,NA
198,ABSOLUTE,"adj a kim., a sam bau lo mim, zuamtu nei lo, a ngaingai.",NA,NA,NA
201,ABSORB,"vt a dawp, a fep, a zuk.",NA,NA,NA
209,ABSTAIN,"vt sup aw, thinlung sup aw, hrial.",NA,NA,NA
210,ABSTRACT,"vt dir, lak hlo.",NA,NA,NA
211,ABSURD,"adj a si thei lo mi, a cang thei lo mi, aat thu, aat-taam.",NA,NA,NA
213,ABUNDANT,"adj  a tam hngin, tampi, tam zet mi, a famkim mi, a ttamtting mi.",NA,NA,NA
217,ABUSE,"vt  hmang sual, awr siat, tong sia hmang , rolung bun, tuah sia.",NA,NA,NA
220,ABYSS,"n a net thei lo mi khur kakhrap, khur teen sangpi, khuar khuhrum taw nei lo.",NA,NA,NA
221,ACADEMY,"n fim thiam zirnak tlawng, hla le zuk lam zirnak tlawng.",NA,NA,NA
225,ACCENT,"n tongaw, kam seem.",NA,NA,NA
228,ACCEPT,"vt sang, lungkim, cohlawng.",NA,NA,NA
230,ACCIDENT,"n tuah mawh, tiawk sual, tisual, tipang.",NA,NA,NA
232,ACCESS,"n ton theinak, feh theinak.",NA,NA,NA
234,ACCLAIM,vt  hlawrh: porh: lungawinak tumpi thaw ih hmauk.,NA,NA,NA
236,ACCOMMODATE,"vt  a tawk a mawi ih tuahsak, inn tlunter, riahter, inn ih umter, umnak pek.",NA,NA,NA
240,ACCOMPANY,"vt  fehpi, thlun, hla saktu thil tumsak.",NA,NA,NA
242,ACCOMPLICE,"n sualnak tuahpitu, phiartu.",NA,NA,NA
247,ACCOMPLISH,vt thil tuah suak.,NA,NA,NA
249,ACCORDING TO,"adv vekin, bangtukin.",NA,NA,NA
253,ACCORDIAN,"n Mirang thlung, thli tha hmangih tum mi.",NA,NA,NA
258,ACCOUNT,"n sim fiangnak, cazin, tangka ngah mi le hman mi cazin.",NA,NA,NA
262,ACCOUNT FOR,"vt ziangruang ah ti-ih simfiang, cazin hmuh.",NA,NA,NA
265,ACCUMULATE,vt khawl ciamco.,NA,NA,NA
267,ACCURATE,"adj a fel mi, a dik mi, (hmui) ding mi, a hman cekci.",NA,NA,NA
271,ACCUSATION,"n puhnak, puh mawhnak.",NA,NA,NA
272,ACCUSE ,"vt  puh, sual puh.",NA,NA,NA
280,ACCUSED,"n  sual an puh mi, tazakhan, sual puh tuartu.",NA,NA,NA
284,ACCUSTOM,"v danah a cang, a zongsang, kellet.",NA,NA,NA
286,ACHE,"n tamnat, tamnak.",NA,NA,NA
290,ACHE,"vt  a tam, ana.",NA,NA,NA
292,ACHIEVE,"adj tuah suak thei, ti suak thei.",NA,NA,NA
293,ACID,"adj a thur mi, thil thur.",NA,NA,NA
308,ACKNOWLEDGE,"vt a si ti-ih simfiang, thil ka ngah ti-ih theiter sal.",NA,NA,NA
310,ACORN,"n thil thei, rangkha thei.",NA,NA,NA
312,ACQUAINT,"vt theiter, sim.",NA,NA,NA
314,ACQUIRE,vt  mah hrangah ngah.(thil),NA,NA,NA
318,ACQUIT,"vt thlah, tualnak nei lo ti-in zung ihsin thlah.",NA,NA,NA
320,ACRE,"n eka 48-40 sq,yards a kau mi.",NA,NA,NA
326,ACROSS,"cdv & prep khat lamin khat lamah, kanin, tan-in",NA,NA,NA
327,ACT,"n tuah mi, ek-upadi, tuah sernak.",NA,NA,NA
332,ACT,"vt  tuah, a si vekih umter.",NA,NA,NA
333,ACTION,"n   tuah mi, ral donak, cawl cangnak.",NA,NA,NA
339,ACTIVE,"adj a mar a zang mi ; a cak mi, cawlcang mi, tha tho zet mi.",NA,NA,NA
344,ACTOR,"n baisikup ih a tel pa, a titertu pa.",NA,NA,NA
346,ACUTAL,"adj a si ngaingai mi, a taktak.",NA,NA,NA
348,ACUTE,"adj fum, thinlung a rangzet mi, a nasazet mi, a be-sia zet mi.",NA,NA,NA
352,ADAGE,n tong thim,NA,NA,NA
358,ADAM,"n a hmasa bik Milai, Bible ca sungih sim mi vek in Adam cu milai hmasa bik a si. Adam's apple = orfok, hrok bol, dang hrong.",NA,NA,NA
359,ADMANT,"adj lung lian, thin lian, lung hak, a hnget.",NA,NA,NA
